source_id,source,latitude,longitude,event_date,spatial_block_id
11149,NASA_GLC,24.82767572,93.51825,2017-07-09,block_49_187
10975,NASA_GLC,25.61919207,92.7094701,2017-04-29,block_51_185
10973,NASA_GLC,26.181606,91.772042,2016-12-15,block_52_183
9733,NASA_GLC,23.86469956,91.8949662,2017-06-03,block_47_183
2575,NASA_GLC,25.5242,92.9914,2010-10-09,block_51_185
3840,NASA_GLC,24.6869,93.9157,2011-07-25,block_49_187
4906,NASA_GLC,26.0977,94.7499,2013-06-07,block_52_189
9952,NASA_GLC,26.10430759,91.86227824,2017-07-03,block_52_183
9993,NASA_GLC,27.97875751,94.26296826,2017-07-04,block_55_188
9704,NASA_GLC,25.11956675,94.36416626,2017-06-12,block_50_188
264,NASA_GLC,26.1833,91.8,2007-09-13,block_52_183
2263,NASA_GLC,26.2753,94.6654,2010-08-17,block_52_189
9087,NASA_GLC,28.235,94.9612,2016-07-19,block_56_189
5006,NASA_GLC,26.1147,94.3864,2013-07-01,block_52_188
12715,NASA_GLC,25.26049558,94.01914123,2017-08-26,block_50_188
7265,NASA_GLC,25.5007,93.9854,2015-07-22,block_51_187
6290,NASA_GLC,25.5772,91.8666,2014-09-23,block_51_183
2437,NASA_GLC,23.7527,92.694,2010-09-16,block_47_185
7371,NASA_GLC,23.9939,94.0573,2015-08-01,block_47_188
1129,NASA_GLC,24.8628,94.4182,2009-08-30,block_49_188
3912,NASA_GLC,27.44,92.2833,2011-08-12,block_54_184
2423,NASA_GLC,23.73504471,92.71060943,2010-09-13,block_47_185
7336,NASA_GLC,25.2193,90.5549,2015-08-19,block_50_181
3925,NASA_GLC,27.4888,93.0153,2011-08-15,block_54_186
2113,NASA_GLC,27.3773,88.559,2010-07-21,block_54_177
1596,NASA_GLC,24.7339,93.9161,2010-03-27,block_49_187
7699,NASA_GLC,26.0214,94.5224,2015-08-19,block_52_189
7374,NASA_GLC,25.1122,94.3591,2015-08-01,block_50_188
10980,NASA_GLC,25.181453,93.118105,2017-04-04,block_50_186
3789,NASA_GLC,27.2743,92.9064,2011-07-16,block_54_185
4403,NASA_GLC,24.8142,93.5444,2012-06-10,block_49_187
2243,NASA_GLC,25.70223725,94.04619681,2010-08-13,block_51_188
258,NASA_GLC,24.4279,94.0564,2007-09-11,block_48_188
